# Temperatura_=_20.0
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_136110.0280495278

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.107949e-06	-1.455373e-09	-3.842561e+01	-1.676167e+02
1.000000e-08	-7.107723e-06	-1.454896e-09	-3.842439e+01	-1.675837e+02
2.000000e-08	-7.107359e-06	-1.455707e-09	-3.842242e+01	-1.675423e+02
3.000000e-08	-7.106653e-06	-1.457201e-09	-3.841860e+01	-1.674929e+02
4.000000e-08	-7.105141e-06	-1.456638e-09	-3.841043e+01	-1.674362e+02
5.000000e-08	-7.102749e-06	-1.453975e-09	-3.839750e+01	-1.673727e+02
6.000000e-08	-7.099761e-06	-1.451212e-09	-3.838134e+01	-1.673031e+02
7.000000e-08	-7.096254e-06	-1.445801e-09	-3.836239e+01	-1.672278e+02
8.000000e-08	-7.092120e-06	-1.441148e-09	-3.834004e+01	-1.671475e+02
9.000000e-08	-7.087278e-06	-1.454127e-09	-3.831386e+01	-1.670627e+02
1.000000e-07	-7.081887e-06	-1.463828e-09	-3.828472e+01	-1.669740e+02
1.100000e-07	-7.076137e-06	-1.423034e-09	-3.825363e+01	-1.668817e+02
1.200000e-07	-7.070027e-06	-1.400827e-09	-3.822060e+01	-1.667865e+02
1.300000e-07	-7.063553e-06	-1.474660e-09	-3.818560e+01	-1.666888e+02
1.400000e-07	-7.056727e-06	-1.504131e-09	-3.814870e+01	-1.665888e+02
1.500000e-07	-7.049399e-06	-1.401867e-09	-3.810909e+01	-1.664870e+02
1.600000e-07	-7.041569e-06	-1.363352e-09	-3.806676e+01	-1.663837e+02
1.700000e-07	-7.033264e-06	-1.489527e-09	-3.802186e+01	-1.662791e+02
1.800000e-07	-7.024317e-06	-1.520788e-09	-3.797349e+01	-1.661735e+02
1.900000e-07	-7.014855e-06	-1.361051e-09	-3.792234e+01	-1.660670e+02
2.000000e-07	-7.004844e-06	-1.340532e-09	-3.786822e+01	-1.659597e+02
2.100000e-07	-6.994093e-06	-1.513934e-09	-3.781010e+01	-1.658516e+02
2.200000e-07	-6.982950e-06	-1.511416e-09	-3.774986e+01	-1.657428e+02
2.300000e-07	-6.971198e-06	-1.336968e-09	-3.768633e+01	-1.656333e+02
2.400000e-07	-6.958780e-06	-1.363631e-09	-3.761920e+01	-1.655230e+02
2.500000e-07	-6.945832e-06	-1.508901e-09	-3.754921e+01	-1.654118e+02
2.600000e-07	-6.932198e-06	-1.439646e-09	-3.747550e+01	-1.652994e+02
2.700000e-07	-6.917897e-06	-1.326859e-09	-3.739818e+01	-1.651858e+02
2.800000e-07	-6.902895e-06	-1.422454e-09	-3.731709e+01	-1.650708e+02
2.900000e-07	-6.887244e-06	-1.475415e-09	-3.723248e+01	-1.649540e+02
3.000000e-07	-6.871157e-06	-1.359611e-09	-3.714551e+01	-1.648353e+02
3.100000e-07	-6.854526e-06	-1.368834e-09	-3.705560e+01	-1.647143e+02
3.200000e-07	-6.837253e-06	-1.475505e-09	-3.696222e+01	-1.645908e+02
3.300000e-07	-6.819571e-06	-1.393699e-09	-3.686663e+01	-1.644645e+02
3.400000e-07	-6.801557e-06	-1.310863e-09	-3.676925e+01	-1.643350e+02
3.500000e-07	-6.783138e-06	-1.438199e-09	-3.666968e+01	-1.642022e+02
3.600000e-07	-6.764225e-06	-1.466865e-09	-3.656743e+01	-1.640656e+02
3.700000e-07	-6.744851e-06	-1.314955e-09	-3.646270e+01	-1.639249e+02
3.800000e-07	-6.725016e-06	-1.338039e-09	-3.635547e+01	-1.637800e+02
3.900000e-07	-6.704739e-06	-1.462936e-09	-3.624585e+01	-1.636306e+02
4.000000e-07	-6.684092e-06	-1.383292e-09	-3.613424e+01	-1.634763e+02
4.100000e-07	-6.662977e-06	-1.306774e-09	-3.602009e+01	-1.633169e+02
4.200000e-07	-6.641290e-06	-1.408571e-09	-3.590285e+01	-1.631522e+02
4.300000e-07	-6.619159e-06	-1.415527e-09	-3.578321e+01	-1.629820e+02
4.400000e-07	-6.596542e-06	-1.321161e-09	-3.566094e+01	-1.628062e+02
4.500000e-07	-6.573572e-06	-1.368667e-09	-3.553676e+01	-1.626244e+02
4.600000e-07	-6.550336e-06	-1.415209e-09	-3.541115e+01	-1.624366e+02
4.700000e-07	-6.526711e-06	-1.331532e-09	-3.528343e+01	-1.622426e+02
4.800000e-07	-6.502584e-06	-1.332901e-09	-3.515300e+01	-1.620423e+02
4.900000e-07	-6.478006e-06	-1.408286e-09	-3.502013e+01	-1.618355e+02
5.000000e-07	-6.452809e-06	-1.361826e-09	-3.488392e+01	-1.616222e+02
5.100000e-07	-6.426799e-06	-1.314600e-09	-3.474331e+01	-1.614023e+02
5.200000e-07	-6.400188e-06	-1.369409e-09	-3.459945e+01	-1.611755e+02
