# 135kHz_100dA_100Mss_NEdd002
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13383.017381443968
# Fase_campo_=_4.718469101286914
# Concentracion g/m^3_=_10770.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.412546e+00	4.620730e+00
4.083485e+05	5.541804e-01	7.381657e+00
6.805808e+05	1.493402e-01	1.026353e+01
9.528131e+05	9.153998e-02	1.251198e+01
1.225045e+06	1.543577e-02	1.020123e+01
1.497278e+06	7.109562e-02	1.231289e+01
1.769510e+06	1.474364e-02	1.473528e+01
2.041742e+06	1.179661e-02	1.497600e+01
2.313975e+06	6.679104e-03	1.239828e+01
2.586207e+06	1.575467e-02	9.674671e+00
